,구,개최횟수,가해학생수,신체폭력,언어폭력,금품갈취,강요,따돌림,성폭력,사이버폭력,기타,내부상담_실시여부,외부상담_실시여부,학교폭력_예방교육_평균교육시간(1학급당),wee클래스_운영여부,학교수,연도,경찰청,경찰서,지구대파출소치안센터,소방본부,소방서,119안전센터,시설총합,cctv_총계,방범,어린이보호구역,공원놀이터,쓰레기무단투기,시설안전화재예방,교통단속,교통정보수집분석,기타다른법령
0,노원구,132,112,56,37,2,5,8,23,6,3,0.88,0.64,7958.700000000001,0.84,25,2019,0,1,17,0,1,5,22,2282,1245,260,402,127,111,137,0,0
1,강서구,110,89,31,15,3,3,5,5,6,6,0.782608695652174,0.782608695652174,11274.500000000002,0.7391304347826086,23,2019,0,1,12,0,1,6,18,2437,1949,215,155,27,0,91,0,0
2,강남구,107,50,32,14,0,1,0,8,7,0,0.7272727272727273,0.7272727272727273,7886.099999999999,0.6818181818181818,22,2019,0,2,21,0,1,6,27,6645,4525,775,496,0,104,593,0,152
3,은평구,102,78,32,16,3,3,3,11,2,1,0.7222222222222222,0.6666666666666666,7315.7,0.6111111111111112,18,2019,0,2,20,0,1,4,24,3660,2335,697,399,0,123,106,0,0
4,송파구,86,71,30,25,2,2,2,10,7,3,1.0,0.7894736842105263,8555.9,1.0,19,2019,0,1,20,0,1,6,26,2743,1518,311,543,0,77,294,0,0
5,성북구,85,69,20,12,2,6,4,11,12,1,0.8461538461538461,0.8461538461538461,5702.800000000001,0.7692307692307693,13,2019,0,2,24,0,1,4,28,3754,2489,400,192,359,108,183,23,0
6,구로구,83,65,29,22,2,1,1,9,8,4,0.7857142857142857,0.7857142857142857,4077.1,0.5714285714285714,14,2019,0,1,16,0,1,6,22,4075,2501,540,384,30,119,257,0,244
7,관악구,82,45,28,6,0,6,4,8,4,2,0.7058823529411765,0.8235294117647058,7750.6,0.7647058823529411,17,2019,0,1,19,0,1,4,23,4909,3226,417,282,157,642,185,0,0
8,양천구,74,48,29,18,3,3,4,5,3,1,0.8666666666666667,0.7333333333333333,5406.2,0.6666666666666666,15,2019,0,1,16,0,1,5,21,3307,2103,768,265,0,0,171,0,0
9,종로구,72,40,22,12,1,1,1,3,4,0,0.9285714285714286,0.7142857142857143,5284.9000000000015,0.6428571428571429,14,2019,1,2,23,0,1,6,29,1729,1360,41,109,0,110,109,0,0
10,강동구,67,46,19,9,3,1,0,5,1,4,0.9285714285714286,0.7857142857142857,4069.4000000000005,0.9285714285714286,14,2019,0,1,16,0,1,5,21,2547,2084,232,159,0,0,72,0,0
11,용산구,63,52,25,6,2,1,0,2,3,1,1.0,0.6,4059.3,0.9,10,2019,0,1,12,0,1,5,17,2383,1740,164,154,0,0,252,0,73
12,서초구,59,48,21,19,1,3,0,3,5,1,1.0,0.5454545454545454,3404.2,1.0,11,2019,0,2,19,0,1,6,25,3730,2232,332,170,0,215,781,0,0
13,동대문구,51,32,14,14,0,4,2,1,3,2,1.0,0.7272727272727273,3251.8,0.7272727272727273,11,2019,0,1,20,0,1,5,25,2315,1682,282,174,28,1,134,0,14
14,중구,48,34,8,9,2,0,2,1,5,0,0.8181818181818182,0.9090909090909091,4779.3,0.5454545454545454,11,2019,0,2,18,1,1,5,23,2001,1180,75,165,62,62,290,8,159
15,중랑구,47,20,13,9,0,1,2,2,4,1,1.0,0.9,3091.7,0.9,10,2019,0,1,17,0,1,4,21,3285,2872,141,141,11,54,66,0,0
16,성동구,47,38,26,8,7,0,3,8,1,1,1.0,0.6666666666666666,2473.7999999999997,1.0,9,2019,0,1,15,0,1,4,19,3515,2834,0,177,151,15,338,0,0
17,영등포구,44,34,18,7,1,1,0,2,0,2,1.0,0.8888888888888888,2470.7,0.8888888888888888,9,2019,0,1,15,0,1,5,20,3773,2758,264,175,53,7,516,0,0
18,도봉구,41,51,16,8,0,0,0,3,1,2,1.0,0.8,3782.2000000000003,0.8,10,2019,0,1,9,0,1,4,13,1356,747,188,135,119,77,90,0,0
19,마포구,39,25,9,7,1,1,2,4,1,0,0.7777777777777778,0.8888888888888888,3672.5,0.4444444444444444,9,2019,0,1,15,0,1,6,21,2401,1918,192,158,0,0,133,0,0
20,동작구,37,29,12,3,1,1,2,6,3,3,0.8571428571428571,1.0,2664.7,0.8571428571428571,7,2019,0,1,17,0,1,4,21,2262,1615,394,127,19,59,43,0,5
21,금천구,36,26,17,3,0,0,1,3,1,0,0.6666666666666666,0.8333333333333334,1328.2,0.8333333333333334,6,2019,0,1,12,0,0,2,14,2365,1758,271,174,44,0,118,0,0
22,광진구,36,21,8,8,0,0,1,1,3,1,0.8888888888888888,0.4444444444444444,2687.5,0.6666666666666666,9,2019,0,1,12,0,1,3,15,2556,2011,301,98,71,5,70,0,0
23,강북구,33,15,9,4,0,0,1,4,6,0,0.8571428571428571,0.8571428571428571,3604.3,0.8571428571428571,7,2019,0,1,14,0,1,4,18,2462,1831,319,187,0,32,93,0,0
24,서대문구,30,12,8,5,1,1,2,3,2,1,0.7142857142857143,1.0,1410.4,0.7142857142857143,7,2019,1,1,11,0,1,4,15,2939,1846,132,521,0,91,317,0,32
