구,동,청소년인구수(15-19세)
종로구,청운효자동,677
종로구,사직동,372
종로구,삼청동,105
종로구,부암동,507
종로구,평창동,1004
종로구,무악동,533
종로구,교남동,442
종로구,가회동,195
종로구,종로1.2.3.4가동,143
종로구,종로5.6가동,182
종로구,이화동,260
종로구,혜화동,866
종로구,창신1동,166
종로구,창신2동,371
종로구,창신3동,320
종로구,숭인1동,224
종로구,숭인2동,228
중구,소공동,45
중구,회현동,111
중구,명동,74
중구,필동,110
중구,장충동,193
중구,광희동,108
중구,을지로동,20
중구,신당동,183
중구,다산동,560
중구,약수동,590
중구,청구동,573
중구,신당5동,370
중구,동화동,487
중구,황학동,307
중구,중림동,423
용산구,후암동,766
용산구,용산2가동,382
용산구,남영동,170
용산구,청파동,784
용산구,원효로1동,455
용산구,원효로2동,760
용산구,효창동,476
용산구,용문동,533
용산구,한강로동,503
용산구,이촌1동,1442
용산구,이촌2동,285
용산구,이태원1동,184
용산구,이태원2동,293
용산구,한남동,643
용산구,서빙고동,897
용산구,보광동,511
성동구,왕십리2동,732
성동구,왕십리도선동,931
성동구,마장동,1032
성동구,사근동,547
성동구,행당1동,655
성동구,행당2동,1173
성동구,응봉동,856
성동구,금호1가동,642
성동구,금호2.3가동,930
성동구,금호4가동,466
성동구,옥수동,895
성동구,성수1가1동,727
성동구,성수1가2동,558
성동구,성수2가1동,591
성동구,성수2가3동,322
성동구,송정동,383
성동구,용답동,419
광진구,화양동,545
광진구,군자동,629
광진구,중곡1동,495
광진구,중곡2동,801
광진구,중곡3동,628
광진구,중곡4동,1333
광진구,능동,342
광진구,광장동,2657
광진구,자양1동,905
광진구,자양2동,1159
광진구,자양3동,1443
광진구,자양4동,595
광진구,구의1동,819
광진구,구의2동,1383
광진구,구의3동,1513
동대문구,용신동,899
동대문구,제기동,853
동대문구,전농1동,1224
동대문구,전농2동,998
동대문구,답십리1동,1061
동대문구,답십리2동,1264
동대문구,장안1동,1440
동대문구,장안2동,1476
동대문구,청량리동,732
동대문구,회기동,416
동대문구,휘경1동,563
동대문구,휘경2동,1228
동대문구,이문1동,834
동대문구,이문2동,1028
중랑구,면목2동,983
중랑구,면목4동,755
중랑구,면목5동,385
중랑구,면목본동,1300
중랑구,면목7동,789
중랑구,면목3.8동,1011
중랑구,상봉1동,1198
중랑구,상봉2동,545
중랑구,중화1동,818
중랑구,중화2동,865
중랑구,묵1동,1727
중랑구,묵2동,720
중랑구,망우본동,1187
중랑구,망우3동,786
중랑구,신내1동,1894
중랑구,신내2동,1038
성북구,성북동,732
성북구,삼선동,1237
성북구,동선동,646
성북구,돈암1동,905
성북구,돈암2동,1500
성북구,안암동,624
성북구,보문동,624
성북구,정릉1동,1034
성북구,정릉2동,1175
성북구,정릉3동,676
성북구,정릉4동,1321
성북구,길음1동,2279
성북구,길음2동,783
성북구,종암동,2042
성북구,월곡1동,1353
성북구,월곡2동,816
성북구,장위1동,1000
성북구,장위2동,572
성북구,장위3동,861
성북구,석관동,1354
강북구,삼양동,1263
강북구,미아동,843
강북구,송중동,1215
강북구,송천동,1066
강북구,삼각산동,2148
강북구,번1동,705
강북구,번2동,713
강북구,번3동,851
강북구,수유1동,838
강북구,수유2동,902
강북구,수유3동,752
강북구,우이동,804
강북구,인수동,1266
도봉구,창1동,1285
도봉구,창2동,1404
도봉구,창3동,664
도봉구,창4동,1584
도봉구,창5동,1271
도봉구,도봉1동,780
도봉구,도봉2동,1044
도봉구,쌍문1동,1040
도봉구,쌍문2동,918
도봉구,쌍문3동,684
도봉구,쌍문4동,1199
도봉구,방학1동,1360
도봉구,방학2동,963
도봉구,방학3동,1586
노원구,월계1동,1025
노원구,월계2동,1320
노원구,월계3동,1227
노원구,공릉1동,1688
노원구,공릉2동,2587
노원구,하계1동,2307
노원구,하계2동,1605
노원구,중계본동,2565
노원구,중계1동,3058
노원구,중계4동,1519
노원구,중계2.3동,2073
노원구,상계1동,2069
노원구,상계2동,1279
노원구,상계3.4동,1252
노원구,상계5동,1376
노원구,상계6.7동,1816
노원구,상계8동,1246
노원구,상계9동,1339
노원구,상계10동,885
은평구,녹번동,1487
은평구,불광1동,1654
은평구,불광2동,1261
은평구,갈현1동,1144
은평구,갈현2동,1579
은평구,구산동,1732
은평구,대조동,1081
은평구,응암1동,1358
은평구,응암2동,1095
은평구,응암3동,1122
은평구,역촌동,2153
은평구,신사1동,1327
은평구,신사2동,1040
은평구,증산동,763
은평구,수색동,360
은평구,진관동,3421
서대문구,천연동,853
서대문구,북아현동,636
서대문구,충현동,738
서대문구,신촌동,571
서대문구,연희동,1513
서대문구,홍제1동,1171
서대문구,홍제3동,780
서대문구,홍제2동,666
서대문구,홍은1동,1083
서대문구,홍은2동,1396
서대문구,남가좌1동,666
서대문구,남가좌2동,1229
서대문구,북가좌1동,949
서대문구,북가좌2동,1558
마포구,아현동,835
마포구,공덕동,1588
마포구,도화동,912
마포구,용강동,816
마포구,대흥동,385
마포구,염리동,583
마포구,신수동,1085
마포구,서강동,1020
마포구,서교동,791
마포구,합정동,610
마포구,망원1동,819
마포구,망원2동,936
마포구,연남동,517
마포구,성산1동,855
마포구,성산2동,2035
마포구,상암동,2043
양천구,목1동,2544
양천구,목2동,1587
양천구,목3동,1028
양천구,목4동,2125
양천구,목5동,3826
양천구,신월1동,820
양천구,신월2동,983
양천구,신월3동,746
양천구,신월4동,896
양천구,신월5동,749
양천구,신월6동,394
양천구,신월7동,894
양천구,신정1동,1565
양천구,신정2동,1612
양천구,신정3동,2954
양천구,신정4동,1526
양천구,신정6동,1991
양천구,신정7동,1953
강서구,염창동,2264
강서구,등촌1동,901
강서구,등촌2동,1064
강서구,등촌3동,1464
강서구,화곡1동,1621
강서구,화곡2동,885
강서구,화곡3동,1003
강서구,화곡4동,838
강서구,화곡본동,1479
강서구,화곡6동,1021
강서구,화곡8동,989
강서구,가양1동,1173
강서구,가양2동,331
강서구,가양3동,457
강서구,발산1동,2744
강서구,우장산동,2847
강서구,공항동,934
강서구,방화1동,2094
강서구,방화2동,877
강서구,방화3동,840
구로구,신도림동,1754
구로구,구로1동,1012
구로구,구로2동,907
구로구,구로3동,771
구로구,구로4동,736
구로구,구로5동,987
구로구,가리봉동,212
구로구,고척1동,1203
구로구,고척2동,1377
구로구,개봉1동,1449
구로구,개봉2동,1386
구로구,개봉3동,853
구로구,오류1동,769
구로구,오류2동,2290
구로구,수궁동,1197
금천구,가산동,434
금천구,독산1동,1300
금천구,독산2동,793
금천구,독산3동,917
금천구,독산4동,613
금천구,시흥1동,1414
금천구,시흥2동,1175
금천구,시흥3동,442
금천구,시흥4동,918
금천구,시흥5동,945
영등포구,영등포본동,859
영등포구,영등포동,534
영등포구,여의동,1445
영등포구,당산1동,657
영등포구,당산2동,1155
영등포구,도림동,591
영등포구,문래동,1395
영등포구,양평1동,595
영등포구,양평2동,979
영등포구,신길1동,606
영등포구,신길3동,689
영등포구,신길4동,348
영등포구,신길5동,372
영등포구,신길6동,701
영등포구,신길7동,882
영등포구,대림1동,523
영등포구,대림2동,396
영등포구,대림3동,940
동작구,노량진1동,1157
동작구,노량진2동,412
동작구,상도1동,1823
동작구,상도2동,1073
동작구,상도3동,1067
동작구,상도4동,1159
동작구,흑석동,1251
동작구,사당1동,634
동작구,사당2동,958
동작구,사당3동,871
동작구,사당4동,478
동작구,사당5동,503
동작구,대방동,2475
동작구,신대방1동,1424
동작구,신대방2동,900
관악구,보라매동,904
관악구,청림동,645
관악구,성현동,1677
관악구,행운동,820
관악구,낙성대동,493
관악구,청룡동,1066
관악구,은천동,1326
관악구,중앙동,462
관악구,인헌동,1012
관악구,남현동,528
관악구,서원동,596
관악구,신원동,528
관악구,서림동,665
관악구,신사동,760
관악구,신림동,333
관악구,난향동,823
관악구,조원동,464
관악구,대학동,630
관악구,삼성동,1050
관악구,미성동,1414
관악구,난곡동,1227
서초구,서초1동,1007
서초구,서초2동,862
서초구,서초3동,1660
서초구,서초4동,2001
서초구,잠원동,2115
서초구,반포본동,1131
서초구,반포1동,1609
서초구,반포2동,1187
서초구,반포3동,1380
서초구,반포4동,1121
서초구,방배본동,1587
서초구,방배1동,841
서초구,방배2동,927
서초구,방배3동,1285
서초구,방배4동,1462
서초구,양재1동,1968
서초구,양재2동,895
서초구,내곡동,586
강남구,신사동,935
강남구,논현1동,555
강남구,논현2동,794
강남구,압구정동,1458
강남구,청담동,1416
강남구,삼성1동,842
강남구,삼성2동,1706
강남구,대치1동,2760
강남구,대치2동,3793
강남구,대치4동,1747
강남구,역삼1동,956
강남구,역삼2동,2753
강남구,도곡1동,1189
강남구,도곡2동,2558
강남구,개포1동,337
강남구,개포2동,1514
강남구,개포4동,971
강남구,세곡동,2157
강남구,일원본동,1692
강남구,일원1동,771
강남구,일원2동,1038
강남구,수서동,446
송파구,풍납1동,553
송파구,풍납2동,1123
송파구,거여1동,669
송파구,거여2동,854
송파구,마천1동,941
송파구,마천2동,908
송파구,방이1동,1035
송파구,방이2동,853
송파구,오륜동,1509
송파구,오금동,2064
송파구,송파1동,864
송파구,송파2동,1141
송파구,석촌동,1233
송파구,삼전동,1234
송파구,가락본동,1250
송파구,가락1동,1167
송파구,가락2동,1974
송파구,문정1동,964
송파구,문정2동,931
송파구,장지동,1828
송파구,위례동,1444
송파구,잠실본동,1166
송파구,잠실2동,2691
송파구,잠실3동,2040
송파구,잠실4동,997
송파구,잠실6동,878
송파구,잠실7동,653
강동구,강일동,2084
강동구,상일동,707
강동구,명일1동,1555
강동구,명일2동,1420
강동구,고덕1동,1489
강동구,고덕2동,834
강동구,암사1동,1639
강동구,암사2동,550
강동구,암사3동,972
강동구,천호1동,1182
강동구,천호2동,1182
강동구,천호3동,867
강동구,성내1동,1016
강동구,성내2동,761
강동구,성내3동,1223
강동구,길동,1898
강동구,둔촌1동,4
강동구,둔촌2동,1417
