,연도,구,경찰청,경찰서,지구대파출소치안센터,소방본부,소방서,119안전센터,시설총합
0,2019,합계,2,31,410,1,24,118,528
1,2019,종로구,1,2,23,0,1,6,29
2,2019,중구,0,2,18,1,1,5,23
3,2019,용산구,0,1,12,0,1,5,17
4,2019,성동구,0,1,15,0,1,4,19
5,2019,광진구,0,1,12,0,1,3,15
6,2019,동대문구,0,1,20,0,1,5,25
7,2019,중랑구,0,1,17,0,1,4,21
8,2019,성북구,0,2,24,0,1,4,28
9,2019,강북구,0,1,14,0,1,4,18
10,2019,도봉구,0,1,9,0,1,4,13
11,2019,노원구,0,1,17,0,1,5,22
12,2019,은평구,0,2,20,0,1,4,24
13,2019,서대문구,1,1,11,0,1,4,15
14,2019,마포구,0,1,15,0,1,6,21
15,2019,양천구,0,1,16,0,1,5,21
16,2019,강서구,0,1,12,0,1,6,18
17,2019,구로구,0,1,16,0,1,6,22
18,2019,금천구,0,1,12,0,0,2,14
19,2019,영등포구,0,1,15,0,1,5,20
20,2019,동작구,0,1,17,0,1,4,21
21,2019,관악구,0,1,19,0,1,4,23
22,2019,서초구,0,2,19,0,1,6,25
23,2019,강남구,0,2,21,0,1,6,27
24,2019,송파구,0,1,20,0,1,6,26
25,2019,강동구,0,1,16,0,1,5,21
