학교명,Final_Score,위도,경도
영락의료과학고등학교,17.77,37.476564,126.944783
신진과학기술고등학교,16.05,37.59871321,126.91883490000002
휘문고등학교,15.36,37.505109,127.06142
덕일전자공업고등학교,14.57,37.49098336,126.8387989
단국대학교부속소프트웨어고등학교,14.16,37.49561668,127.0577673
고명외식고등학교,13.930000000000001,37.59732,127.02019
성수공업고등학교,13.850000000000001,37.54054009,127.0512981
서울공연예술고등학교,11.459999999999999,37.50008507,126.8321523
불암고등학교,11.360000000000001,37.64915826,127.0803044
광신방송예술고등학교,11.25,37.465719,126.924699
서울금융고등학교,11.240000000000002,37.537615,126.825664
용산고등학교,11.23,37.54586549,126.98032849999998
서울항공비즈니스고등학교,10.79,37.56921616,126.817042
서울문화고등학교,10.78,37.66413242,127.0472847
신일고등학교,10.47,37.62819,127.027724
서일문화예술고등학교,10.399999999999999,37.5793799,127.01279270000002
영신간호비즈니스고등학교,10.330000000000002,37.6524538,127.08327690000002
이화여자대학교사범대학부속이화금란고등학교,10.280000000000001,37.56636584,126.947661
세화고등학교,10.22,37.50195197,126.9916176
경문고등학교,10.01,37.49309576,126.9816993
