대분류,분류,저소득,중간,고소득
종로구,종로구,8.3,38.2,53.5
중구,중구,32.6,35.2,32.2
용산구,용산구,24.1,52.7,23.2
성동구,성동구,19.6,47.1,33.3
광진구,광진구,23.9,53.1,23
동대문구,동대문구,31.6,46.3,22
중랑구,중랑구,16,58.5,25.6
성북구,성북구,11.8,49.3,38.8
강북구,강북구,23.6,52.9,23.4
도봉구,도봉구,14,56.2,29.7
노원구,노원구,35.8,45.7,18.5
은평구,은평구,22.7,53.4,23.9
서대문구,서대문구,32.8,46.9,20.2
마포구,마포구,16.5,53.7,29.8
양천구,양천구,23.7,62.8,13.5
강서구,강서구,20.1,62.7,17.2
구로구,구로구,22.4,51.1,26.5
금천구,금천구,20.8,61,18.2
영등포구,영등포구,20.3,39.2,40.5
동작구,동작구,30,53.1,17
관악구,관악구,22,58,20
서초구,서초구,11.9,52.8,35.2
강남구,강남구,20.4,44.9,34.7
송파구,송파구,16.8,61.9,21.3
강동구,강동구,27.6,52.6,19.8
